"timesteps","Variabilidade - _step","Variabilidade - _step__MIN","Variabilidade - _step__MAX","Variabilidade - mean_reward_test","Variabilidade - mean_reward_test__MIN","Variabilidade - mean_reward_test__MAX","Sustentabilidade - _step","Sustentabilidade - _step__MIN","Sustentabilidade - _step__MAX","Sustentabilidade - mean_reward_test","Sustentabilidade - mean_reward_test__MIN","Sustentabilidade - mean_reward_test__MAX","Lucro - _step","Lucro - _step__MIN","Lucro - _step__MAX","Lucro - mean_reward_test","Lucro - mean_reward_test__MIN","Lucro - mean_reward_test__MAX"
"133120","268336.5","268326","268341","381.23513331000004","381.23513331000004","381.23513331000004","268336.5","268326","268341","220.2094948200001","220.20949482000003","220.20949482000003","268336.5","268326","268341","409.1501555200001","409.15015552000006","409.15015552000006"
"136448","275045.5","275035","275050","389.4635385699999","389.46353856999997","389.46353856999997","275045.5","275035","275050","239.12761477999996","239.12761477999996","239.12761477999996","275045.5","275035","275050","410.89614532999997","410.8961453300001","410.8961453300001"
"139776","281753.5","281743","281758","393.38317297000003","393.38317297000003","393.38317297000003","281753.5","281743","281758","259.95760494999996","259.95760494999996","259.95760494999996","281753.5","281743","281758","402.81101414","402.81101414","402.81101414"
"143104","288462.5","288452","288467","405.716417","405.7164169999999","405.7164169999999","288462.5","288452","288467","273.29764551","273.29764551","273.29764551","288462.5","288452","288467","410.74331387999985","410.74331387999996","410.74331387999996"
"146432","295171.5","295161","295176","411.22087272","411.22087272","411.22087272","295171.5","295161","295176","240.54407448000003","240.54407448","240.54407448","295171.5","295161","295176","402.79726373999995","402.79726374","402.79726374"
"149760","301879.5","301869","301884","421.49606714000004","421.4960671400001","421.4960671400001","301879.5","301869","301884","228.17910532","228.17910532","228.17910532","301879.5","301869","301884","398.17441410999993","398.17441411","398.17441411"
"153088","308588.5","308578","308593","414.7307142","414.7307142","414.7307142","308588.5","308578","308593","217.65042265000005","217.65042265","217.65042265","308588.5","308578","308593","399.08840712999995","399.08840712999995","399.08840712999995"
"156416","315296.5","315286","315301","396.9983397","396.9983396999999","396.9983396999999","315296.5","315286","315301","248.16544385","248.16544385","248.16544385","315296.5","315286","315301","407.80674905","407.80674905","407.80674905"
"159744","322005.5","321995","322010","402.54462338999997","402.54462338999997","402.54462338999997","322005.5","321995","322010","264.02934948","264.02934948","264.02934948","322005.5","321995","322010","400.98517004","400.98517004","400.98517004"
"163072","328714.5","328704","328719","392.53393922","392.53393922000004","392.53393922000004","328714.5","328704","328719","265.80784805999997","265.80784805999997","265.80784805999997","328714.5","328704","328719","427.51227710999996","427.5122771099999","427.5122771099999"
"166400","335422.5","335412","335427","422.44846751000017","422.4484675100001","422.4484675100001","335422.5","335412","335427","252.64135879000008","252.64135879000003","252.64135879000003","335422.5","335412","335427","414.98815987000023","414.9881598700001","414.9881598700001"
"169728","342131.5","342121","342136","435.45014600999997","435.45014600999997","435.45014600999997","342131.5","342121","342136","242.29178084999992","242.29178084999995","242.29178084999995","342131.5","342121","342136","416.1204113599998","416.12041135999993","416.12041135999993"
"173056","348840.5","348830","348845","463.31597504999996","463.31597504999996","463.31597504999996","348840.5","348830","348845","234.76925777000002","234.76925777000005","234.76925777000005","348840.5","348830","348845","404.46892781999986","404.46892781999986","404.46892781999986"
"176384","355548.5","355538","355553","445.2865785099999","445.28657850999997","445.28657850999997","355548.5","355538","355553","235.53511385999997","235.53511386","235.53511386","355548.5","355538","355553","418.5606092299999","418.5606092299999","418.5606092299999"
"179712","362257.5","362247","362262","412.7665893700001","412.7665893700001","412.7665893700001","362257.5","362247","362262","231.11741633","231.11741633000003","231.11741633000003","362257.5","362247","362262","433.89468122999995","433.8946812299999","433.8946812299999"
"183040","368965.5","368955","368970","401.83420797","401.83420796999997","401.83420796999997","368965.5","368955","368970","238.9875133","238.98751329999996","238.98751329999996","368965.5","368955","368970","425.12394863","425.1239486299999","425.1239486299999"
"186368","375674.5","375664","375679","389.56434244999997","389.56434244999997","389.56434244999997","375674.5","375664","375679","226.10885817000005","226.10885817000002","226.10885817000002","375674.5","375664","375679","433.61494179","433.61494178999993","433.61494178999993"
"189696","382383.5","382373","382388","407.97972069","407.97972069","407.97972069","382383.5","382373","382388","237.19421624999998","237.19421624999998","237.19421624999998","382383.5","382373","382388","444.1401346399999","444.14013464000004","444.14013464000004"
"193024","389091.5","389081","389096","408.33367140000007","408.3336714","408.3336714","389091.5","389081","389096","229.61730267000004","229.61730267000002","229.61730267000002","389091.5","389081","389096","456.65580962000007","456.65580962","456.65580962"
"196352","395800.5","395790","395805","433.83500297999996","433.83500298","433.83500298","395800.5","395790","395805","239.87082510999997","239.87082511","239.87082511","395800.5","395790","395805","421.65201317999987","421.6520131799999","421.6520131799999"
"199680","402508.5","402498","402513","425.53269666","425.53269666","425.53269666","402508.5","402498","402513","225.90501692999993","225.90501693","225.90501693","402508.5","402498","402513","415.9414478600001","415.94144786000004","415.94144786000004"
"203008","409217.5","409207","409222","399.6208016099999","399.6208016099999","399.6208016099999","409217.5","409207","409222","240.12124794000005","240.12124794","240.12124794","409217.5","409207","409222","384.20502116","384.20502116000006","384.20502116000006"
"206336","415926.5","415916","415931","391.5475324099999","391.54753241","391.54753241","415926.5","415916","415931","247.82988412000006","247.82988412000003","247.82988412000003","415926.5","415916","415931","414.8655860099999","414.86558600999996","414.86558600999996"
"209664","422634.5","422624","422639","396.8364355700001","396.8364355700001","396.8364355700001","422634.5","422624","422639","257.85491422","257.85491422","257.85491422","422634.5","422624","422639","389.00787987000007","389.00787987","389.00787987"
"212992","429343.5","429333","429348","407.40450322999993","407.4045032299999","407.4045032299999","429343.5","429333","429348","252.1451398499999","252.14513984999996","252.14513984999996","429343.5","429333","429348","399.5266070000002","399.5266070000001","399.5266070000001"
"216320","436052.5","436042","436057","408.68978525000006","408.68978525000006","408.68978525000006","436052.5","436042","436057","237.84611047999994","237.84611048","237.84611048","436052.5","436042","436057","387.90565664999997","387.90565665","387.90565665"
"219648","442760.5","442750","442765","411.36115334","411.36115334000004","411.36115334000004","442760.5","442750","442765","239.52269367000005","239.52269367000005","239.52269367000005","442760.5","442750","442765","396.81146705999987","396.8114670599999","396.8114670599999"
"222976","449469.5","449459","449474","411.96125966","411.96125966","411.96125966","449469.5","449459","449474","250.33460495000003","250.33460495","250.33460495","449469.5","449459","449474","391.9004294400001","391.9004294400001","391.9004294400001"
"226304","456177.5","456167","456182","419.1856931000001","419.18569310000004","419.18569310000004","456177.5","456167","456182","254.97257117999996","254.97257118","254.97257118","456177.5","456167","456182","393.96577031000004","393.96577031","393.96577031"
"229632","462886.5","462876","462891","419.01735593","419.01735592999995","419.01735592999995","462886.5","462876","462891","242.18695079000003","242.18695079","242.18695079","462886.5","462876","462891","387.81627372","387.81627372","387.81627372"
"232960","469595.5","469585","469600","437.80119963999994","437.8011996399999","437.8011996399999","469595.5","469585","469600","225.12587836999998","225.12587836999998","225.12587836999998","469595.5","469585","469600","392.7130043000001","392.7130043","392.7130043"
"236288","476303.5","476293","476308","419.0531527399999","419.0531527399999","419.0531527399999","476303.5","476293","476308","209.55344375","209.55344375","209.55344375","476303.5","476293","476308","406.39978154999994","406.39978154999994","406.39978154999994"
"239616","483012.5","483002","483017","422.11287849999997","422.1128784999999","422.1128784999999","483012.5","483002","483017","219.42846987000004","219.42846987000004","219.42846987000004","483012.5","483002","483017","415.38879378999997","415.38879378999997","415.38879378999997"
"242944","489720.5","489710","489725","396.52885267000005","396.52885267000005","396.52885267000005","489720.5","489710","489725","230.45477093000002","230.45477093000002","230.45477093000002","489720.5","489710","489725","413.50867667999995","413.5086766799999","413.5086766799999"
"246272","496429.5","496419","496434","426.4936939999999","426.49369399999995","426.49369399999995","496429.5","496419","496434","254.41478056999998","254.41478057","254.41478057","496429.5","496419","496434","391.64683009999993","391.64683009999993","391.64683009999993"
"249600","503138.5","503128","503143","408.90068255","408.90068255","408.90068255","503138.5","503128","503143","250.34974216999996","250.34974216999998","250.34974216999998","503138.5","503128","503143","408.92118404999997","408.92118404999997","408.92118404999997"
"252928","509846.5","509836","509851","414.1179300600001","414.11793006000005","414.11793006000005","509846.5","509836","509851","237.50812898999996","237.50812898999996","237.50812898999996","509846.5","509836","509851","410.64696749999996","410.6469675","410.6469675"
"256256","516555.5","516545","516560","376.15733097","376.15733097","376.15733097","516555.5","516545","516560","222.46386981999993","222.46386981999993","222.46386981999993","516555.5","516545","516560","410.85925364999997","410.85925364999997","410.85925364999997"
"259584","523264.5","523254","523269","388.70650341000004","388.70650341","388.70650341","523264.5","523254","523269","230.04823758","230.04823758000003","230.04823758000003","523264.5","523254","523269","404.18045995000006","404.18045995","404.18045995"
"262912","529972.5","529962","529977","400.34602257","400.34602257","400.34602257","529972.5","529962","529977","233.14292242000008","233.14292242000008","233.14292242000008","529972.5","529962","529977","386.0848523099999","386.08485231","386.08485231"
"266240","536681.5","536671","536686","404.57625685","404.57625685000005","404.57625685000005","536681.5","536671","536686","247.26430408999997","247.26430408999997","247.26430408999997","536681.5","536671","536686","373.41866595000005","373.41866595000005","373.41866595000005"
"269568","543389.5","543379","543394","369.51623620000004","369.5162362","369.5162362","543389.5","543379","543394","239.44865093999994","239.44865094","239.44865094","543389.5","543379","543394","387.78600487","387.78600487000006","387.78600487000006"
"272896","550098.5","550088","550103","373.88463406000005","373.88463406000005","373.88463406000005","550098.5","550088","550103","243.83291656999998","243.83291656999998","243.83291656999998","550098.5","550088","550103","414.27218829","414.27218829","414.27218829"
"276224","556807.5","556797","556812","396.88420168","396.88420168","396.88420168","556807.5","556797","556812","244.71535900000003","244.71535900000003","244.71535900000003","556807.5","556797","556812","443.99590961999996","443.99590961999996","443.99590961999996"
"279552","563515.5","563505","563520","441.39431125000004","441.39431125000004","441.39431125000004","563515.5","563505","563520","251.69601912000002","251.69601912","251.69601912","563515.5","563505","563520","432.7865859600001","432.78658596","432.78658596"
"282880","570224.5","570214","570229","425.6914220499999","425.69142204999997","425.69142204999997","570224.5","570214","570229","250.52576016000006","250.52576016000003","250.52576016000003","570224.5","570214","570229","428.06496862999995","428.06496863","428.06496863"
"286208","576932.5","576922","576937","418.83196427999985","418.83196427999997","418.83196427999997","576932.5","576922","576937","236.96926716000004","236.96926716000002","236.96926716000002","576932.5","576922","576937","406.94884804000003","406.94884804000003","406.94884804000003"
